Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
666,Ughvru,Kudg,Kudg County,Waria,Warian Empire,Uruk,Norwickism,619,652.53,231.59,18.12,-15.69,840,91°F,Mecca,,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:cross;t:argent;line:wavy}];charges:[{charge:lute;t:sable;p:e;size:0.5}];shield:urukHai},https://watabou.github.io/village-generator/?pop=619&name=&seed=8194174370666&width=1000&height=455&tags=highway%2Cuncultivated%2Cno+orchards%2Cdense
667,Invercych,Invercych,Invercych Parish,Towcesland,Brotherhood of Towcesland,Keltan,Thetford Cult,9961,388.07,256.65,16.02,-37.82,472,97°F,Mecca,,,citadel,,,temple,,{t1:argent;division:{division:perPale;t:purpure;line:straight};charges:[{charge:lozengePloye;t:sable;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Invercych&population=9961&size=31&seed=8194174370667&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
668,Watbury,Watbury,Watbury County,Waria,Warian Empire,Westen,Norwickism,6978,476.5,296.66,12.67,-30.42,118,100°F,Mecca,,,,,,,,{t1:or;division:{division:perFess;t:azure;line:rayonne};shield:heater},https://watabou.github.io/city-generator/?name=Watbury&population=6978&size=27&seed=8194174370668&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
669,Inbhi,Abergarac,Abergarac Earldom,Sor'thaz,Kingdom of Sor'thaz,Keltan,Norwickism,2432,82.66,316.83,10.99,-63.38,738,99°F,Mecca,,,,,,,,{t1:sable;charges:[{charge:cock;t:argent;p:jln;size:0.7}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Inbhi&population=2432&size=18&seed=8194174370669&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
670,Igin,Tetheters,Tetheters County,Chiptonby,Protectorate of Chiptonby,Uruk,Uruk Deities,2745,814.82,315.7,11.08,-2.11,2051,93°F,Mecca,,,,,,,,{t1:sable;ordinaries:[{ordinary:pale;t:argent;line:straight}];charges:[{charge:trianglePierced;t:or;p:y;size:0.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Igin&population=2745&size=19&seed=8194174370670&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
671,Darklaf,Samshing,Samshing Parish,Seavedonia,Holy State of Seavedonia,Nortumbic,Guantzu Faith,9999,1069.02,365.07,6.95,19.17,1588,95°F,Mecca,,,,,,temple,,{custom:true},https://watabou.github.io/city-generator/?name=Darklaf&population=9999&size=31&seed=8194174370671&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
672,Druchol,Zorradh,Zorradh Land,Ardg,Ardg Empire,Uruk,Uruk Deities,5988,1628.88,365.05,6.95,66.02,7248,75°F,Dakar,,,,walls,plaza,,,{t1:sable;ordinaries:[{ordinary:terrace;t:or;line:engrailed}];charges:[{charge:stagsAttires;t:or;p:bdf;size:0.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Druchol&population=5988&size=25&seed=8194174370672&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
673,Bozg,Tetlia,Tetlia County,Ardg,Ardg Empire,Uruk,Uruk Deities,4252,1395.98,376.22,6.02,46.53,3360,90°F,Mecca,,,,,,,,{t1:azure;charges:[{charge:horseSalient;t:or;p:e;size:1.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Bozg&population=4252&size=22&seed=8194174370673&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
674,Totlewent,Clifordley,Clifordley Shire,Chiptonby,Protectorate of Chiptonby,Westen,Norwickism,998,697.6,388,5.03,-11.92,30,102°F,Mecca,,,,,,,,{t1:argent;charges:[{charge:boat2;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=998&name=&seed=8194174370674&width=1000&height=455&tags=dead+end%2Cuncultivated%2Cno+orchards%2Cno+square%2Cdense
675,Srussazash,Rraj'hass,Rraj'hass Captaincy,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,7865,126.7,401.7,3.88,-59.7,30,102°F,Mecca,,,citadel,,,,,{t1:argent;ordinaries:[{ordinary:canton;t:azure}];charges:[{charge:mullet;t:argent;p:y;size:0.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Srussazash&population=7865&size=28&seed=8194174370675&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
676,Verrord,Zorradh,Zorradh Land,Ardg,Ardg Empire,Uruk,Uruk Deities,5836,1529.11,398.66,4.14,57.67,6352,79°F,Jakarta,,,citadel,,plaza,,,{t1:vert;charges:[{charge:horseSalient;t:or;p:e;size:1.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Verrord&population=5836&size=25&seed=8194174370676&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
677,Cugephruzju,Inhafraw,Inhafraw Earldom,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,1009,75.71,407.43,3.4,-63.96,82,102°F,Mecca,,,,,plaza,,,{t1:gules;ordinaries:[{ordinary:chief;t:or;line:straight}];charges:[{charge:mascle;t:azure;p:abc;size:0.5}];shield:fantasy1},https://watabou.github.io/village-generator/?pop=1009&name=&seed=8194174370677&width=1400&height=636&tags=highway%2Cuncultivated%2Cno+orchards%2Cdense
678,Henbuteley,Reamersbia,Reamersbia Parish,Seavedonia,Holy State of Seavedonia,Westen,Westen Beliefs,7693,921.85,430.51,1.47,6.85,52,102°F,Mecca,,,citadel,,,temple,,{t1:argent;charges:[{charge:crossHummetty;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Henbuteley&population=7693&size=28&seed=8194174370678&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
679,Sa'kas,Sez'jash,Sez'jash Captaincy,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,946,28.64,482.35,-2.87,-67.9,397,100°F,Mecca,,,,,plaza,,,{t1:gules;charges:[{charge:crossCeltic2;t:or;p:jln;size:0.7}];shield:fantasy1},https://watabou.github.io/village-generator/?pop=946&name=&seed=8194174370679&width=1000&height=455&tags=dead+end%2Cuncultivated%2Cno+orchards%2Cdense
680,Heungdongfu,Shekgong,Shekgong Parish,Seavedonia,Holy State of Seavedonia,Guantzu,Guantzu Faith,1004,1207.1,500.8,-4.41,30.72,82,102°F,Mecca,,,,walls,,temple,,{t1:purpure;charges:[{charge:falchion;t:argent;p:e;size:1.5}];shield:banner},https://watabou.github.io/city-generator/?name=Heungdongfu&population=1004&size=13&seed=8194174370680&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
681,Kharb,Garakzinb,Garakzinb Earldom,Ardg,Ardg Empire,Durinn,Durinn Pantheon,979,1479.19,525.35,-6.47,53.49,3153,91°F,Mecca,,,citadel,walls,,,,{t1:or;division:{division:chevronny;t:vert};charges:[{charge:tower;t:sable;p:e;size:1.5}];shield:erebor},https://watabou.github.io/city-generator/?name=Kharb&population=979&size=13&seed=8194174370681&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
682,Noshilney,Wargton,Wargton Parish,Seavedonia,Holy State of Seavedonia,Nortumbic,Nortumbic Beliefs,4111,1118.3,564.9,-9.77,23.29,118,100°F,Mecca,,,citadel,walls,plaza,temple,,{t1:or;division:{division:perChevron;t:sable;line:straight};charges:[{charge:inescutcheon;t:gules;p:dfbh;size:0.5};{charge:wolfHeadErased;t:argent;p:dfbh;size:0.25}];shield:heater},https://watabou.github.io/city-generator/?name=Noshilney&population=4111&size=22&seed=8194174370682&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
683,Birpor,Cudmin,Cudmin Seneschalty,Knutsdonia,Grand Duchy of Knutsdonia,Westen,Norwickism,10387,203.78,573.51,-10.5,-53.25,82,100°F,Mecca,,,,,plaza,,,{t1:sable;charges:[{charge:boat2;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Birpor&population=10387&size=31&seed=8194174370683&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
684,Stothoreso,Newentes,Newentes County,Ardg,Ardg Empire,Nortumbic,Nortumbic Beliefs,1829,1371.82,569.81,-10.19,44.51,738,99°F,Mecca,,,,walls,plaza,,,{t1:maily-argent-purpure-small;division:{division:perFess;t:sable;line:straight};ordinaries:[{ordinary:gyron;t:gules}];shield:heater},https://watabou.github.io/city-generator/?name=Stothoreso&population=1829&size=16&seed=8194174370684&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
685,Louthelton,Sealis,Sealis Shire,Comburghia,Kingdom of Comburghia,Westen,Norwickism,4875,237.75,580.72,-11.1,-50.4,82,100°F,Mecca,,,citadel,,,,,{t1:azure;charges:[{charge:pegasus;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Louthelton&population=4875&size=24&seed=8194174370685&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
686,Soz'tetesh,Nij'jus,Nij'jus Earldom,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,614,62.2,594.7,-12.27,-65.09,1890,93°F,Mecca,,,citadel,,,,,{t1:argent;ordinaries:[{ordinary:cross;t:purpure;line:straight}];charges:[{charge:mascle;t:or;p:behdf;size:0.3}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Soz%27tetesh&population=614&size=11&seed=8194174370686&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
687,Skalt'kas,Cudmin,Cudmin Seneschalty,Knutsdonia,Grand Duchy of Knutsdonia,Aj'Snaga,Norwickism,8825,146.06,605.58,-13.18,-58.08,1184,97°F,Mecca,,,citadel,,plaza,,,{t1:sable;division:{division:perSaltire;t:or};ordinaries:[{ordinary:pall;t:argent}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Skalt%27kas&population=8825&size=30&seed=8194174370687&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
688,Rorjass,Cij'ja,Cij'ja Earldom,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,14974,91.69,617.75,-14.2,-62.63,3153,88°F,Mecca,,,,walls,plaza,,,{t1:sable;charges:[{charge:cinquefoil;t:argent;p:e;size:1.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Rorjass&population=14974&size=36&seed=8194174370688&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
689,Mantamers,Garing,Garing County,Waria,Warian Empire,Westen,Norwickism,1388,438.2,688.51,-20.12,-33.63,118,97°F,Mecca,,,,,,,,{t1:pally-vert-argent;ordinaries:[{ordinary:chevronReversed;t:or}];shield:heater},https://watabou.github.io/village-generator/?pop=1388&name=&seed=8194174370689&width=1400&height=636&tags=highway%2Cuncultivated%2Cno+orchards%2Cno+square%2Cdense
690,Rothington,Monterton,Monterton Parish,Seavedonia,Holy State of Seavedonia,Westen,Norwickism,2525,659.14,690.7,-20.3,-15.14,52,97°F,Mecca,,,citadel,walls,,temple,,{t1:azure;division:{division:perPale;t:argent;line:straight};charges:[{charge:crossHummetty;t:or;p:jl;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Rothington&population=2525&size=18&seed=8194174370690&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
691,Albar,Zirukthar,Zirukthar Territory,Seavedonia,Holy State of Seavedonia,Wildlands,Durinn Pantheon,2030,1247.9,732.87,-23.83,34.14,2218,84°F,Aden,,,,,,,shanty town,{custom:true;size:1.1},https://watabou.github.io/city-generator/?name=Albar&population=2030&size=17&seed=8194174370691&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=1&gates=-1
692,Clitham,Kirbia,Kirbia Earldom,Chichia,Grand Duchy of Chichia,Westen,Norwickism,8294,354.26,765.45,-26.56,-40.65,161,88°F,Mecca,,,citadel,,,,,{t1:purpure;ordinaries:[{ordinary:piles;t:argent}];charges:[{charge:cancer;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Clitham&population=8294&size=29&seed=8194174370692&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
693,Gundum,Car'ji,Car'ji Territory,Comburghia,Kingdom of Comburghia,Durinn,Norwickism,624,154.34,799.06,-29.37,-57.38,1890,77°F,Miami,,,citadel,,,,,{t1:gules;division:{division:perBend;t:or;line:straight};ordinaries:[{ordinary:bordure;t:argent}];charges:[{charge:sun;t:azure;p:ABCDEFGHIJKL;size:0.18}];shield:erebor},https://watabou.github.io/city-generator/?name=Gundum&population=624&size=11&seed=8194174370693&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
694,Nurakhelnal,Car'ji,Car'ji Territory,Comburghia,Kingdom of Comburghia,Durinn,Norwickism,2761,185.48,840.19,-32.81,-54.78,1447,73°F,Rio de Janeiro,,,,,,,,{t1:lozengy-or-gules;charges:[{charge:crossHummetty;t:vert;p:e;size:1.5}];shield:erebor},https://watabou.github.io/city-generator/?name=Nurakhelnal&population=2761&size=19&seed=8194174370694&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
695,Khar,Nararakz,Nararakz County,Comburghia,Kingdom of Comburghia,Durinn,Norwickism,727,316.96,876.1,-35.82,-43.77,118,73°F,Rio de Janeiro,,,citadel,,,,,{t1:azure;charges:[{charge:mullet6;t:argent;p:e;size:1.5}];shield:erebor},https://watabou.github.io/city-generator/?name=Khar&population=727&size=12&seed=8194174370695&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
696,Ardgra,Qigk,Qigk County,Arania,Principality of Arania,Uruk,Uruk Deities,2414,394.74,6.33,36.97,-37.26,118,70°F,Tegucigalpa,,,,walls,,,,{t1:gules;charges:[{charge:greyhoundSejant;t:argent;p:e;size:1.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Ardgra&population=2414&size=18&seed=8194174370696&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
697,Alodurowige,Penyfia,Penyfia County,Afespia,Kingdom of Afespia,Keltan,Norwickism,1971,235.49,105.93,28.64,-50.59,13,81°F,Mogadishu,,,,,plaza,,,{t1:or;division:{division:perPale;t:purpure;line:straight};ordinaries:[{ordinary:mount;t:vert}];shield:vesicaPiscis},https://watabou.github.io/village-generator/?pop=1971&name=&seed=8194174370697&width=1600&height=727&tags=highway%2Cuncultivated%2Cdense
698,Erdolkon,Kudg,Kudg County,Waria,Warian Empire,Uruk,Norwickism,1098,608.63,204.36,20.4,-19.36,472,91°F,Mecca,,,citadel,,,,,{t1:fretty-sable-argent;ordinaries:[{ordinary:pall;t:or}];shield:urukHai},https://watabou.github.io/city-generator/?name=Erdolkon&population=1098&size=14&seed=8194174370698&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
699,Adaggor,Kudg,Kudg County,Waria,Warian Empire,Uruk,Norwickism,2885,648.23,214.4,19.56,-16.05,738,91°F,Mecca,,,,walls,,,,{t1:vert;ordinaries:[{ordinary:bordure;t:argent}];charges:[{charge:elephant;t:azure;p:ABCDEFGHIJKL;size:0.18}];shield:urukHai},https://watabou.github.io/city-generator/?name=Adaggor&population=2885&size=19&seed=8194174370699&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
700,Afesp,Anverdunumia,Anverdunumia County,Afespia,Kingdom of Afespia,Keltan,Britian Sect,3963,131.56,230.26,18.23,-59.29,1588,90°F,Mecca,,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:flaunches;t:or}];charges:[{charge:horseRampant;t:or;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Afesp&population=3963&size=22&seed=8194174370700&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
701,Kingraford,Bernesey,Bernesey Parish,Towcesland,Brotherhood of Towcesland,Mercian,Thetford Cult,839,243.29,256.09,16.07,-49.94,30,99°F,Mecca,,,,walls,,temple,,{t1:gules;division:{division:perFess;t:or;line:wavy};charges:[{charge:lionRampant;t:argent;p:kn;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Kingraford&population=839&size=12&seed=8194174370701&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
702,Areroe,Aberbeg,Aberbeg Clan,Afespia,Kingdom of Afespia,Kentian,Norwickism,920,165.78,293.03,12.98,-56.43,397,99°F,Mecca,,,citadel,walls,,,,{t1:argent;charges:[{charge:billet;t:sable;p:beh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Areroe&population=920&size=13&seed=8194174370702&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
703,Zorradh,Zorradh,Zorradh Land,Ardg,Ardg Empire,Uruk,Uruk Deities,1894,1338.11,283.98,13.73,41.69,1736,95°F,Mecca,,,citadel,,,,,{t1:gules;division:{division:perPale;t:argent;line:dragonTeeth};charges:[{charge:hatchet;t:or;p:e;size:1.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Zorradh&population=1894&size=17&seed=8194174370703&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
704,Grald,Goccore,Goccore Earldom,Ardg,Ardg Empire,Uruk,Uruk Deities,616,1199.76,342.41,8.84,30.11,948,97°F,Mecca,,,citadel,,,,,{t1:gules;ordinaries:[{ordinary:pileInBendSinister;t:or}];charges:[{charge:lionPassant;t:argent;p:ai;size:0.7}];shield:urukHai},https://watabou.github.io/city-generator/?name=Grald&population=616&size=11&seed=8194174370704&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
705,Gugh,Tetlia,Tetlia County,Ardg,Ardg Empire,Uruk,Uruk Deities,944,1440.05,354.5,7.83,50.22,2051,93°F,Mecca,,,,,,,,{t1:gules;ordinaries:[{ordinary:cross;t:argent;line:straight}];shield:urukHai},https://watabou.github.io/village-generator/?pop=944&name=&seed=8194174370705&width=1000&height=455&tags=river%2Cdead+end%2Cno+orchards%2Cno+square%2Cdense
706,Zalbredh,Clifordley,Clifordley Shire,Chiptonby,Protectorate of Chiptonby,Uruk,Norwickism,2070,732.02,363.18,7.11,-9.04,161,100°F,Mecca,,,citadel,,,,,{t1:counterVair-argent-purpure;division:{division:perFess;t:vert;line:straight};ordinaries:[{ordinary:pileInBend;t:gules}];shield:urukHai},https://watabou.github.io/city-generator/?name=Zalbredh&population=2070&size=17&seed=8194174370706&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
707,Irodg,Tetheters,Tetheters County,Chiptonby,Protectorate of Chiptonby,Uruk,Uruk Deities,630,856.43,364.61,6.99,1.38,472,99°F,Mecca,,,,,,,,{t1:sable;charges:[{charge:inescutcheon;t:argent;p:e;size:1.5};{charge:orb;t:azure;p:e;size:0.75}];shield:urukHai},https://watabou.github.io/village-generator/?pop=630&name=&seed=8194174370707&width=1000&height=455&tags=dead+end%2Cuncultivated%2Cno+orchards%2Cno+square%2Cdense
708,Waisin,Tetheters,Tetheters County,Chiptonby,Protectorate of Chiptonby,Guantzu,Guantzu Faith,1040,857.08,403,3.77,1.43,13,102°F,Mecca,,,,walls,plaza,,,{t1:or;ordinaries:[{ordinary:fess;t:azure;line:straight}];charges:[{charge:sabre;t:argent;p:def;size:0.5}];shield:banner},https://watabou.github.io/city-generator/?name=Waisin&population=1040&size=13&seed=8194174370708&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
709,Netonden,Netonden,Netonden Parish,Seavedonia,Holy State of Seavedonia,Westen,Westen Beliefs,6584,980.9,451.9,-0.32,11.79,52,102°F,Mecca,,,,,,temple,,{t1:vert;ordinaries:[{ordinary:bendletSinister;t:argent;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Netonden&population=6584&size=26&seed=8194174370709&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
710,Chawboline,New Winchbridia,New Winchbridia Colony,Seavedonia,Holy State of Seavedonia,Westen,Westen Beliefs,1449,914.86,486.68,-3.23,6.27,30,102°F,Mecca,,,,,plaza,temple,,{t1:vert;ordinaries:[{ordinary:pile;t:argent}];charges:[{charge:lionPassant;t:vert;p:b;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Chawboline&population=1449&size=15&seed=8194174370710&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
711,Illuphjer't,Srash,Srash County,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,938,58.51,543.79,-8.01,-65.4,266,99°F,Mecca,,,,,,,,{t1:chainy-argent-gules;charges:[{charge:boat;t:azure;p:e;size:1.5}];shield:fantasy1},https://watabou.github.io/village-generator/?pop=938&name=&seed=8194174370711&width=1000&height=455&tags=highway%2Cuncultivated%2Cno+orchards%2Cno+square%2Cdense
712,Wargton,Wargton,Wargton Parish,Seavedonia,Holy State of Seavedonia,Nortumbic,Nortumbic Beliefs,11241,1159.28,571.33,-10.31,26.72,82,100°F,Mecca,,,citadel,,plaza,temple,,{t1:purpure;charges:[{charge:lambPassantReguardant;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Wargton&population=11241&size=32&seed=8194174370712&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
713,Sherskirk,Cudmin,Cudmin Seneschalty,Knutsdonia,Grand Duchy of Knutsdonia,Westen,Norwickism,2034,176.36,593.12,-12.14,-55.54,266,99°F,Mecca,,,citadel,,,,,{t1:azure;ordinaries:[{ordinary:chief;t:or;line:nebuly}];charges:[{charge:boat2;t:azure;p:b;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Sherskirk&population=2034&size=17&seed=8194174370713&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
714,Modling,Mackingia,Mackingia County,Ardg,Ardg Empire,Nortumbic,Nortumbic Beliefs,634,1323.07,629.78,-15.2,40.43,397,97°F,Mecca,,,,,,,,{t1:or;charges:[{charge:mullet;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=634&name=&seed=8194174370714&width=1000&height=455&tags=highway%2Cuncultivated%2Cno+orchards%2Cno+square%2Cdense
715,Kenver,Kirmouth,Kirmouth County,Comburghia,Kingdom of Comburghia,Westen,Norwickism,1340,276.63,641.14,-16.16,-47.15,52,99°F,Mecca,,,citadel,walls,,,,{t1:argent;charges:[{charge:key;t:gules;p:jlh;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Kenver&population=1340&size=15&seed=8194174370715&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
716,Chilceswest,Brasham,Brasham County,Swasings,Principality of Swasings,Westen,Norwickism,11070,954.8,640.26,-16.08,9.61,82,99°F,Mecca,,,citadel,walls,plaza,,,{t1:barryBendy-purpure-or;division:{division:perFess;t:bendy-argent-azure-smaller;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Chilceswest&population=11070&size=32&seed=8194174370716&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
717,Dodble,Burmingley,Burmingley County,Swasings,Principality of Swasings,Westen,Norwickism,945,989.64,639.47,-16.02,12.52,210,99°F,Mecca,,,citadel,,,,,{t1:palyBendy-vert-argent;charges:[{charge:fusil;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Dodble&population=945&size=13&seed=8194174370717&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
718,Tumundiram,Burmingley,Burmingley County,Swasings,Principality of Swasings,Durinn,Norwickism,4985,1002.43,655.33,-17.34,13.59,328,97°F,Mecca,,,citadel,,plaza,,,{t1:chequy-argent-azure-smaller;charges:[{charge:horsePassant;t:gules;p:e;size:1.5}];shield:erebor},https://watabou.github.io/city-generator/?name=Tumundiram&population=4985&size=24&seed=8194174370718&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
719,Durnexeford,Kitonbeck,Kitonbeck County,Chichia,Grand Duchy of Chichia,Westen,Norwickism,4976,317.2,676.77,-19.14,-43.75,161,99°F,Mecca,,,,,plaza,,,{t1:purpure;charges:[{charge:lute;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Durnexeford&population=4976&size=24&seed=8194174370719&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
720,Guzar,Burmingley,Burmingley County,Swasings,Principality of Swasings,Durinn,Durinn Pantheon,632,1027.82,685.37,-19.86,15.72,397,97°F,Mecca,,,citadel,,,,,{t1:argent;ordinaries:[{ordinary:bend;t:azure;line:straight}];charges:[{charge:key;t:or;p:joe;size:0.5}];shield:erebor},https://watabou.github.io/city-generator/?name=Guzar&population=632&size=11&seed=8194174370720&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
721,Ushur,Mackingia,Mackingia County,Ardg,Ardg Empire,Durinn,Durinn Pantheon,1961,1350.05,676.76,-19.14,42.69,2392,90°F,Mecca,,,,,plaza,,,{t1:azure;charges:[{charge:lionRampant;t:or;p:abc;size:0.5}];shield:erebor},https://watabou.github.io/village-generator/?pop=1961&name=&seed=8194174370721&width=1600&height=727&tags=dead+end%2Cuncultivated%2Cno+orchards%2Cdense
